tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,tweet_url,retweet_count,like_count,reply_count,predicted_dog_breed,picture_url,normalized_numerator,normalized_denominator
666020888022790149,2015-11-15 22:32:08,Twitter for iPhone,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet,https://twitter.com/dog_rates/status/666020888022790149/photo/1,8,10,,,https://t.co/BLDqew2Ijj,431,2315,21,Welsh_springer_spaniel,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,8,10
666029285002620928,2015-11-15 23:05:30,Twitter for iPhone,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,a,,https://t.co/r7mOb2m0UI,39,115,0,redbone,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,7,10
666033412701032449,2015-11-15 23:21:54,Twitter for iPhone,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af,https://twitter.com/dog_rates/status/666033412701032449/photo/1,9,10,a,,https://t.co/y671yMhoiR,36,102,1,German_shepherd,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,9,10
666044226329800704,2015-11-16 00:04:52,Twitter for iPhone,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,a,,https://t.co/DWnyCjf2mx,117,252,1,Rhodesian_ridgeback,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,6,10
666049248165822465,2015-11-16 00:24:50,Twitter for iPhone,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10,https://twitter.com/dog_rates/status/666049248165822465/photo/1,5,10,,,https://t.co/4B7cOc1EDq,37,91,9,miniature_pinscher,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,5,10
666050758794694657,2015-11-16 00:30:50,Twitter for iPhone,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with,https://twitter.com/dog_rates/status/666050758794694657/photo/1,10,10,a,,https://t.co/fvIbQfHjIe,50,118,0,Bernese_mountain_dog,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,10,10
666051853826850816,2015-11-16 00:35:11,Twitter for iPhone,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,an,,https://t.co/v5A4vzSDdc,721,1052,11,,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,2,10
666055525042405380,2015-11-16 00:49:46,Twitter for iPhone,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog,https://twitter.com/dog_rates/status/666055525042405380/photo/1,10,10,a,,https://t.co/rdivxLiqEt,200,380,1,chow,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,10,10
666057090499244032,2015-11-16 00:55:59,Twitter for iPhone,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9,10,a,,https://t.co/yWBqbrzy8O,114,256,2,golden_retriever,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,9,10
666058600524156928,2015-11-16 01:01:59,Twitter for iPhone,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog,https://twitter.com/dog_rates/status/666058600524156928/photo/1,8,10,the,,https://t.co/pYAJkAe76p,48,101,3,miniature_poodle,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,8,10
666063827256086533,2015-11-16 01:22:45,Twitter for iPhone,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10,https://twitter.com/dog_rates/status/666063827256086533/photo/1,10,10,the,,https://t.co/RhUEAloehK,182,411,3,golden_retriever,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,10,10
666071193221509120,2015-11-16 01:52:02,Twitter for iPhone,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually,https://twitter.com/dog_rates/status/666071193221509120/photo/1,9,10,,,https://t.co/ZoL8kq2XFx,51,130,1,Gordon_setter,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,9,10
666073100786774016,2015-11-16 01:59:36,Twitter for iPhone,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot,https://twitter.com/dog_rates/status/666073100786774016/photo/1,10,10,,,https://t.co/Yk6GHE9tOY,134,276,2,Walker_hound,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,10,10
